iter	Passed	Remaining
317	104728	59939
318	104900	59520
319	106494	59903
320	107455	59920
321	107574	59466
322	108498	59455
323	108782	59091
324	110164	59319
325	110674	59071
326	111715	59103
327	113042	59278
328	113751	59123
329	115095	59291
330	116467	59465
331	116970	59189
332	118067	59211
333	118372	58831
334	119616	58915
335	120780	58952
336	121948	58984
337	122384	58657
338	123830	58810
339	125179	58908
340	126015	58757
341	126437	58412
342	126914	58092
343	127016	57600
344	127390	57233
345	127855	56906
346	128310	56574
347	128849	56279
348	129287	55937
349	129681	55577
350	129777	55090
351	129880	54608
352	130265	54246
353	130682	53897
354	130888	53461
355	131233	53083
356	131668	52741
357	132055	52379
358	132456	52023
359	132828	51655
360	133303	51327
361	133633	50943
362	134011	50577
363	134247	50158
364	134661	49806
365	135107	49465
366	135585	49135
367	135970	48772
368	136443	48439
369	136860	48086
370	137286	47735
371	137380	47270
372	137725	46893
373	138338	46605
374	138884	46294
375	139306	45941
376	139633	45556
377	140077	45210
378	140510	44859
379	140937	44506
380	141524	44203
381	141896	43831
382	142376	43493
383	142764	43126
384	143153	42760
385	143516	42385
386	143875	42010
387	144220	41630
388	144656	41277
389	145073	40918
390	145630	40597
391	146023	40230
392	146543	39898
393	147206	39603
394	147931	39323
395	148497	38999
396	149023	38663
397	149626	38346
398	150156	38009
399	150656	37664
400	151333	37361
401	151826	37012
402	152377	36676
403	152861	36323
404	153291	35957
405	153804	35609
406	154235	35242
407	154739	34892
408	155199	34530
409	155688	34175
410	156115	33805
411	156493	33425
412	156952	33062
413	157361	32688
414	157739	32308
415	158073	31918
416	158461	31540
417	158900	31171
418	159330	30801
419	159658	30411
420	160034	30030
421	160397	29646
422	160768	29265
423	161201	28894
424	161540	28507
425	161969	28135
426	162384	27761
427	162753	27379
428	163151	27001
429	163659	26642
430	164042	26261
431	164560	25903
432	164933	25520
433	165333	25142
434	165718	24762
435	166166	24391
436	166620	24020
437	167003	23639
438	167397	23260
439	167830	22886
440	168224	22506
441	168594	22123
442	169123	21760
443	169489	21377
444	169839	20991
445	170188	20605
446	170556	20222
447	170954	19842
448	171393	19467
449	171764	19084
450	172141	18702
451	172506	18319
452	172949	17944
453	173358	17564
454	173812	17190
455	174157	16804
456	174584	16427
457	174938	16042
458	175304	15659
459	175665	15275
460	176065	14894
461	176441	14512
462	176796	14128
463	177159	13745
464	177662	13372
465	178027	12989
466	178383	12605
467	178851	12229
468	179212	11845
469	179638	11466
470	180001	11082
471	180388	10701
472	180766	10318
473	181179	9938
474	181604	9558
475	182039	9178
476	182437	8796
477	182901	8418
478	183375	8039
479	183821	7659
480	184282	7279
481	184728	6898
482	185229	6519
483	185622	6136
484	186020	5753
485	186416	5370
486	186834	4987
487	187285	4605
488	187670	4221
489	188178	3840
490	188553	3456
491	188949	3072
492	189357	2688
493	189800	2305
494	190198	1921
495	190602	1537
496	191111	1153
497	191573	769
498	192065	384
499	192615	0
