iter	MultiClass
133	1.2751788
134	1.273157247
135	1.271956666
136	1.269177825
137	1.267377964
138	1.26478256
139	1.26269918
140	1.261115147
141	1.261115003
142	1.261114867
143	1.256367045
144	1.251067833
145	1.248582496
146	1.243803416
147	1.236835472
148	1.231866691
149	1.23092677
150	1.230511104
151	1.229542965
152	1.226923708
153	1.225818253
154	1.222534615
155	1.222521663
156	1.221101989
157	1.219344414
158	1.21555723
159	1.213479415
160	1.211430174
161	1.209370321
162	1.209370189
163	1.207354155
164	1.206479721
165	1.20245514
166	1.201362847
167	1.199267718
168	1.197356375
169	1.197313109
170	1.193759321
171	1.19224901
172	1.19219214
173	1.191590694
174	1.182983639
175	1.181599905
176	1.181219451
177	1.179723713
178	1.177830465
179	1.177830326
180	1.177271581
181	1.171252061
182	1.165804721
183	1.164693038
184	1.159816216
185	1.159813952
186	1.159571261
187	1.159351646
188	1.158194637
189	1.156438963
190	1.152932374
191	1.152629368
192	1.151385592
193	1.150727375
194	1.149891776
195	1.147214278
196	1.146859932
197	1.143359096
198	1.143065093
199	1.143064985
200	1.143064298
201	1.141894076
202	1.138628222
203	1.137060149
204	1.133607153
205	1.133173568
206	1.132612123
207	1.132612042
208	1.129676929
209	1.128971316
210	1.128709766
211	1.123047621
212	1.122870542
213	1.12167108
214	1.121670991
215	1.120701343
216	1.118832911
217	1.117587868
218	1.114264962
219	1.113381523
220	1.110219563
221	1.108938678
222	1.107585396
223	1.107585314
224	1.10649127
225	1.104845782
226	1.104227177
227	1.104227107
228	1.103266603
229	1.101545353
230	1.100482718
231	1.099994828
232	1.09819375
233	1.098193692
234	1.096552063
235	1.094100938
236	1.09338832
237	1.091248192
238	1.088284516
239	1.087278204
240	1.086224184
241	1.083780814
242	1.080701104
243	1.080701021
244	1.079194704
245	1.075635079
246	1.074973205
247	1.072520104
248	1.071328099
249	1.068843045
250	1.067696258
251	1.06750217
252	1.06415055
253	1.061569445
254	1.06095755
255	1.059996231
256	1.057579406
257	1.056673547
258	1.055639692
259	1.052989647
260	1.050556748
261	1.048576376
262	1.044997111
263	1.044914712
264	1.041312285
265	1.038816955
266	1.035723893
267	1.034597305
268	1.032011524
269	1.031914341
270	1.028922134
271	1.02892113
272	1.02861114
273	1.028610995
274	1.027224321
275	1.027056043
276	1.027055909
277	1.027055783
278	1.027055665
279	1.026215584
280	1.025007198
281	1.024289498
282	1.024289372
283	1.023552623
284	1.023552501
285	1.020153066
286	1.019122799
287	1.018184153
288	1.016347977
289	1.015880641
290	1.014267609
291	1.014267461
292	1.014267322
293	1.013644794
294	1.012692348
295	1.012321944
296	1.012232528
297	1.010477309
298	1.008513556
299	1.008248764
300	1.007369683
301	1.002778731
302	1.002771419
303	1.002342404
304	1.001698006
305	1.001697885
306	0.9981787971
307	0.9950648325
308	0.9934054641
309	0.9917380268
310	0.9912410847
311	0.9907961532
312	0.9907960232
313	0.9872671864
314	0.9854024068
315	0.9830021752
316	0.9829272827
317	0.981237947
318	0.9812378027
319	0.9803135678
320	0.9756546232
321	0.9756544571
322	0.9742602205
323	0.9742153893
324	0.9718042949
325	0.9710369602
326	0.9706064608
327	0.9693047683
328	0.9679077501
329	0.9656716862
330	0.9631455236
331	0.9622502512
332	0.9595282332
333	0.9592759799
334	0.9581999476
335	0.9558250235
336	0.9522346462
337	0.9514233797
338	0.9501412252
339	0.9493822899
340	0.9478343691
341	0.9449868077
342	0.9437217826
343	0.9433613652
344	0.9429604399
345	0.9419852282
346	0.9394653614
347	0.9392257427
348	0.9361530218
349	0.9358328189
350	0.9357010907
351	0.9351592392
352	0.931685451
353	0.930545132
354	0.9303092441
355	0.9281447299
356	0.9271057829
357	0.9237293831
358	0.9225925406
359	0.9212051599
360	0.9193942146
361	0.9160117226
362	0.9125299264
363	0.9107202647
364	0.9082001749
365	0.9069365227
366	0.9057834196
367	0.9034956587
368	0.9023365415
369	0.900082581
370	0.8974855963
371	0.8972292951
372	0.8941203239
373	0.8912276377
374	0.8898297054
375	0.8862860978
376	0.8858642925
377	0.8835248404
378	0.8808201133
379	0.8778626205
380	0.8771467982
381	0.8742468946
382	0.8726097218
383	0.8701182302
384	0.867687477
385	0.8657219318
386	0.8634988536
387	0.8606405529
388	0.8591807185
389	0.857679617
390	0.8565253091
391	0.8547984358
392	0.8525203078
393	0.8507954059
394	0.8492004481
395	0.8473563907
396	0.8457739718
397	0.8445082014
398	0.8427416264
399	0.8406895123
400	0.8391428853
401	0.8377593101
402	0.8360654815
403	0.8342531611
404	0.8326230659
405	0.8306539791
406	0.8291092935
407	0.8281721843
408	0.8255563697
409	0.8243341508
410	0.8223002231
411	0.8208265672
412	0.8192342752
413	0.8180962217
414	0.8163068313
415	0.8146063638
416	0.8130007556
417	0.8124886663
418	0.8113895706
419	0.8099086477
420	0.8081859886
421	0.8067785785
422	0.805369203
423	0.8038360268
424	0.8024193158
425	0.80131776
426	0.7997165375
427	0.7981772171
428	0.797284907
429	0.7961907957
430	0.7949853975
431	0.7932703752
432	0.7919130983
433	0.7906139626
434	0.789248074
435	0.7880827917
436	0.787083579
437	0.7857542426
438	0.784349747
439	0.7827041054
440	0.781408862
441	0.7798185304
442	0.7788443223
443	0.7779775695
444	0.7767406133
445	0.7754034619
446	0.7745773043
447	0.7731118738
448	0.7713024482
449	0.7697974323
450	0.7688568881
451	0.7676264442
452	0.7669228321
453	0.766001993
454	0.7646962287
455	0.7631783144
456	0.762212854
457	0.7612654865
458	0.7603221579
459	0.7593232629
460	0.75846263
461	0.7573523665
462	0.7563285075
463	0.755644963
464	0.7549365172
465	0.7539716052
466	0.753163719
467	0.7520167243
468	0.7511301891
469	0.7500810554
470	0.7488180728
471	0.7477655087
472	0.7467921109
473	0.7455992606
474	0.7448728816
475	0.7440279736
476	0.7430120238
477	0.7424203084
478	0.7418147736
479	0.7409303333
480	0.7402394959
481	0.7394987284
482	0.7388308377
483	0.7377931597
484	0.737122116
485	0.7364387741
486	0.7355690793
487	0.7347890339
488	0.7341178972
489	0.733594779
490	0.7323027067
491	0.7315408424
492	0.7304188648
493	0.7295106008
494	0.7286596932
495	0.7275849303
496	0.7268774921
497	0.7259415534
498	0.724963948
499	0.724252041
